Cities,Population,Household Income,Covid cases,Covid deaths,Incident Rate,Case_Fatality_Ratio
New York,"8,418,893","45,601.40","793,877","30,482",10055.41175,3.839637626
Los Angeles,10040000,"42,795.18",1215179,22879,12104.45312,1.882767889
Chicago,"5,150,000","45,913.76",489484,9598,9504.113697,1.960840395
Houston,4713000,"45,749.22",371161,5645,7874.716893,1.520903328
Philadelphia,1584000,"45,338.21",124489,3246,7961.925781,2.607459294
Phoenix,4486000,"42,175.91",521908,9571,11635.67064,1.833848111
San Antonio,2004000,"41,804.53",202849,3225,10124.45884,1.58985255
San Diego,3338000,"44,772.86",268160,3498,8032.758894,1.304445107
Dallas,2636000,"43,319.61",288928,3783,10962.86268,1.309322738
San Jose,1928000,"52,932.04",113700,1912,5897.755637,1.681618294
Austin,1274000,"44,766.54",78372,933,6151.870476,1.19047619
Jacksonville,957755,"38,304.52",91651,1283,9569.357508,1.399875615
San Francisco,874961,"47,726.91",34820,456,3949.865521,1.309592188
Indianapolis,964582,"40,817.20",92684,1687,9608.721705,1.820163135
Columbus,1317000,"42,297.80",115937,1305,8804.744387,1.125611323
Fort Worth,2103000,"43,492.69",249418,3226,11862.84046,1.293411061
Charlotte,1110000,"41,298.08",100837,901,9081.501789,0.893521227
Seattle,705576,"50,351.64",88112,1452,3911.252842,1.647902669
Denver,2253000,"44,886.89",62796,776,8635.182911,1.2357475
El Paso,839238,"36,466.12",128252,2520,15281.95816,1.964881639
Detroit,1749000,"33,542.81",111118,4222,6351.984717,3.799564427
Washington,692683,"43,464.92",43488,1051,6161.964098,2.416758646
Boston,803907,"49,962.10",82474,1771,10259.14689,2.147343405
Memphis,937166,"34,033.87",89625,1538,9563.407123,1.716039052
Nashville ,694144,"41,621.84",84489,884,12171.68196,1.04629005
"Portlard, Ore.",812855,"45,035.67",32736,557,4027.286539,1.701490714
Oklahoma City,797434,"41,122.52",82710,810,10372.01825,0.979325354
Las Vegas,2267000,"39,596.77",232916,4062,10275.48677,1.743976369
Baltimore,609032,"35,417.10",42970,932,7240.223087,2.168955085
Lousville,766757,"41,885.81",75888,1040,9897.268626,1.370440649
Milwaukee,945726,"43,944.10",109014,1292,11527.01734,1.185168877
Albuquerque,679121,"40,353.72",54192,895,7979.726735,1.651535282
Tucson,1047000,"39,736.34",111950,2334,10689.60611,2.084859312
Fresno,999101,"38,494.10",98276,1571,9836.442962,1.59855916
Sacramento,1552000,"44,924.26",96505,1586,6217.873301,1.643438164
"Kansas City, Mo.",703011,"45,188.46",36949,406,5255.821033,1.098811876
Atlanta,1064000,"40,259.30",90465,1235,8502.853082,1.36516885
Colorado Springs,720403,"43,873.52",55241,754,7668.069122,1.364928224
Virginia Beach,450201,"38,935.17",32516,358,7226.195291,1.100996433
Raleigh,1112000,"46,139.06",78745,588,7082.907208,0.746714077
Omaha,571327,"50,229.71",65561,649,11475.21472,0.989917786
Miami,2717000,"39,085.24",436394,5742,16061.96677,1.315783443
Oakland,1671000,"43,177.44",82747,1370,4950.970156,1.655649147
Minneapolis,1266000,"50,411.76",105294,1634,8318.09316,1.551845309
Tulsa,651442,"42,634.81",72005,761,11051.30519,1.056871051
Wichita,516042,"44,249.49",54491,721,10559.41183,1.323154282
New Orleans,390845,"37,019.20",29091,779,7456.477608,2.677804132
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
